1 1,485626283
2 2,671252567
3 3,45687885
4 4,442505133
5 5,528131417
6 6,5137577
7 7,499383984
8 8,385010267
9 9,37063655
10 10,55626283
11 11,34188912
12 12,3275154
13 13,41314168
14 14,39876797
15 15,28439425
16 16,37002053
17 17,25564682
18 18,2412731
19 19,42689938
20 20,21252567
21 21,29815195
22 22,18377823
23 23,26940452
24 24,1550308
25 25,24065708
26 26,12628337
27 27,21190965
28 28,09753593
29 29,18316222
30 30,0687885
31 31,15441478
32 32,04004107
33 33,12566735
34 34,11129363
35 34,99691992
36 36,0825462
37 37,06817248
38 37,95379877
39 39,03942505
40 39,92505133
41 41,01067762
42 41,8963039
43 42,98193018
44 43,86755647
45 44,95318275
46 45,93880903
47 46,82443532
48 47,9100616
49 48,79568789
50 49,78131417
51 50,86694045
52 51,75256674
53 52,93819302
54 53,7238193
55 54,80944559
56 55,69507187
57 56,78069815
58 57,66632444
59 58,65195072
60 59,837577
61 60,62320329
62 61,60882957
63 62,69445585
64 63,68008214
65 64,56570842
66 65,6513347
67 66,53696099
68 67,52258727
69 68,70821355
70 69,49383984
